frame,Unnamed: 0,objIndex,x,y,pnX,pnY,frame,particle,mass
46,199,199.0,257.73037974683547,521.213924050633,,,46,1,790.0
47,202,202.0,235.3766617429837,182.78434268833087,,,47,0,677.0
47,203,203.0,255.0857142857143,524.2372670807454,,,47,1,805.0
48,207,207.0,233.86297376093293,185.8877551020408,,,48,0,686.0
48,208,208.0,252.03803680981602,527.6822085889571,,,48,1,815.0
49,211,211.0,232.3858615611193,189.22680412371133,,,49,0,679.0
49,212,212.0,248.66332916145183,530.956195244055,,,49,1,799.0
50,215,215.0,231.31864904552128,192.23935389133624,,,50,0,681.0
50,216,216.0,245.53990024937656,533.9526184538653,,,50,1,802.0
51,220,220.0,242.65336658354119,536.7643391521196,,,51,1,802.0
51,219,219.0,230.77095808383237,195.40568862275452,,,51,0,668.0
52,223,223.0,230.08857142857144,199.00571428571428,,,52,0,700.0
52,224,224.0,240.4857496902107,539.819083023544,,,52,1,807.0
53,227,227.0,229.60857142857142,201.97714285714287,,,53,0,700.0
53,228,228.0,240.22670025188918,541.492443324937,,,53,1,794.0
54,231,231.0,229.22406639004151,205.66390041493776,,,54,0,723.0
54,232,232.0,240.20822942643392,543.8503740648379,,,54,1,802.0
55,235,235.0,229.49232914923286,208.77266387726638,,,55,0,717.0
55,236,236.0,241.25375,545.725,,,55,1,800.0
56,240,240.0,232.8992537313433,211.1548507462686,,,56,0,536.0
56,241,241.0,242.86845466155808,547.5836526181354,,,56,1,783.0
57,244,244.0,232.26494023904385,213.77091633466136,,,57,0,502.0
57,245,245.0,245.25205479452052,547.9630136986301,,,57,1,730.0
58,248,248.0,231.2063492063492,214.73412698412702,,,58,0,504.0
58,249,249.0,246.9492119089317,546.0472854640981,,,58,1,571.0
59,253,253.0,247.75717439293598,544.6335540838852,,,59,1,453.0
59,252,252.0,231.01394422310761,214.74701195219123,,,59,0,502.0
60,256,256.0,225.30562659846547,214.0434782608696,,,60,0,782.0
60,257,257.0,249.40100250626568,543.1428571428571,,,60,1,399.0
61,260,260.0,223.931129476584,216.64325068870517,,,61,0,726.0
61,261,261.0,249.67045454545453,540.7784090909091,,,61,1,352.0
62,265,265.0,222.36901763224185,218.53274559193954,,,62,0,794.0
62,266,266.0,253.68586387434559,541.6492146596859,,,62,1,764.0
63,269,269.0,221.52257181942542,221.6826265389877,,,63,0,731.0
63,270,270.0,253.34933333333333,538.928,,,63,1,750.0
64,274,274.0,220.51092896174862,224.23224043715848,,,64,0,732.0
64,275,275.0,253.407022106632,535.5461638491547,,,64,1,769.0
65,278,278.0,219.618724559023,227.2333785617368,,,65,0,737.0
65,279,279.0,254.6758530183727,531.8451443569553,,,65,1,762.0
66,284,284.0,255.90414507772027,527.5323834196892,,,66,1,772.0
66,283,283.0,219.2783357245337,230.0444763271162,,,66,0,697.0
67,287,287.0,218.9918144611187,232.40654843110505,,,67,0,733.0
67,288,288.0,257.3684895833333,523.3333333333334,,,67,1,768.0
68,291,291.0,218.55524861878453,235.3977900552486,,,68,0,724.0
68,292,292.0,256.74709677419355,520.5574193548388,,,68,1,775.0
69,295,295.0,218.58644536652835,238.3623789764869,,,69,0,723.0
69,296,296.0,257.7284427284427,516.3989703989704,,,69,1,777.0
70,299,299.0,218.94157608695653,241.1725543478261,,,70,0,736.0
70,300,300.0,258.6869340232859,512.6675291073739,,,70,1,773.0
71,303,303.0,219.2895805142084,244.24763193504737,,,71,0,739.0
71,304,304.0,260.5516339869281,507.84052287581704,,,71,1,765.0
72,307,307.0,220.10190217391303,247.03804347826087,,,72,0,736.0
72,308,308.0,262.4890038809832,503.1474773609314,,,72,1,773.0
73,311,311.0,221.06925207756237,249.63850415512462,,,73,0,722.0
73,312,312.0,263.7404092071611,499.3209718670077,,,73,1,782.0
74,316,316.0,265.5556994818653,495.5751295336788,,,74,1,772.0
74,315,315.0,221.7219178082192,251.9575342465753,,,74,0,730.0
75,319,319.0,223.15342465753426,254.77945205479446,,,75,0,730.0
75,320,320.0,267.2873563218391,491.41251596424,,,75,1,783.0
76,323,323.0,224.28513513513516,257.1054054054054,,,76,0,740.0
76,324,324.0,268.94080604534,487.2997481108312,,,76,1,794.0
77,327,327.0,226.18934081346424,259.7335203366058,,,77,0,713.0
77,328,328.0,270.7192307692308,483.2435897435897,,,77,1,780.0
78,331,331.0,228.32271468144043,262.23961218836564,,,78,0,722.0
78,332,332.0,272.72222222222223,478.6782945736433,,,78,1,774.0
79,335,335.0,230.36805555555557,264.37777777777785,,,79,0,720.0
79,336,336.0,274.70557717250324,474.60311284046685,,,79,1,771.0
80,339,339.0,233.23901098901095,266.978021978022,,,80,0,728.0
80,340,340.0,276.84293193717275,470.0,,,80,1,764.0
81,343,343.0,235.87234042553192,269.12482269503545,,,81,0,705.0
81,344,344.0,278.79205298013244,465.81324503311265,,,81,1,755.0
82,348,348.0,280.8786666666667,461.776,,,82,1,750.0
82,347,347.0,238.29931972789115,270.98367346938784,,,82,0,735.0
83,351,351.0,241.92765957446807,272.9063829787234,,,83,0,705.0
83,352,352.0,282.80848329048837,457.23136246786635,,,83,1,778.0
84,355,355.0,244.82485875706212,274.31073446327684,,,84,0,708.0
84,356,356.0,285.34330299089726,452.80754226267885,,,84,1,769.0
85,359,359.0,247.8323943661972,275.90704225352107,,,85,0,710.0
85,360,360.0,287.8541392904074,448.3863337713535,,,85,1,761.0
86,363,363.0,250.6032608695652,276.7934782608696,,,86,0,736.0
86,364,364.0,289.98162729658793,444.35564304461934,,,86,1,762.0
87,367,367.0,253.90266666666668,277.8586666666667,,,87,0,750.0
87,368,368.0,292.3375959079284,440.4130434782609,,,87,1,782.0
88,371,371.0,256.9303547963206,278.66754270696447,,,88,0,761.0
88,372,372.0,294.8500651890482,436.3494132985658,,,88,1,767.0
89,375,375.0,260.1747700394218,279.5072273324573,,,89,0,761.0
89,376,376.0,297.3192848020434,432.22477650063865,,,89,1,783.0
90,380,380.0,300.17407878017787,427.5870393900889,,,90,1,787.0
90,379,379.0,264.54619565217394,279.7853260869565,,,90,0,736.0
91,384,384.0,302.79438058748406,423.5389527458493,,,91,1,783.0
91,383,383.0,267.7924281984334,279.86814621409917,,,91,0,766.0
92,387,387.0,271.09428950863213,280.0637450199203,,,92,0,753.0
92,388,388.0,305.1507537688442,420.15452261306535,,,92,1,796.0
93,391,391.0,274.57818659658346,280.04336399474374,,,93,0,761.0
93,392,392.0,307.6675094816688,416.34892541087237,,,93,1,791.0
94,395,395.0,277.9631093544137,280.07509881422925,,,94,0,759.0
94,396,396.0,310.18881987577635,412.47950310559014,,,94,1,805.0
95,400,400.0,281.6794871794872,279.67051282051284,,,95,0,780.0
95,401,401.0,312.9875621890547,408.7114427860697,,,95,1,804.0
96,404,404.0,285.34023285899093,279.52652005174645,,,96,0,773.0
96,405,405.0,315.51116625310175,405.105459057072,,,96,1,806.0
97,408,408.0,288.81864623243933,278.9284802043423,,,97,0,783.0
97,409,409.0,318.4789603960396,401.1212871287128,,,97,1,808.0
98,412,412.0,292.65128205128207,278.5692307692308,,,98,0,780.0
98,413,413.0,321.17364532019707,397.45073891625617,,,98,1,812.0
99,417,417.0,324.13759213759215,393.5073710073711,,,99,1,814.0
99,416,416.0,296.607329842932,277.85078534031413,,,99,0,764.0
100,420,420.0,299.41951837769335,276.7528517110266,,,100,0,789.0
100,421,421.0,326.8138686131387,390.10097323600974,,,100,1,822.0
101,424,424.0,303.55654383735697,275.50571791613726,,,101,0,787.0
101,425,425.0,330.0798065296252,385.9697702539299,,,101,1,827.0
102,428,428.0,306.50563204005005,274.314142678348,,,102,0,799.0
102,429,429.0,333.0652173913044,382.31280193236717,,,102,1,828.0
103,432,432.0,309.7191697191697,272.5360195360195,,,103,0,819.0
103,433,433.0,336.22071516646116,378.52774352651045,,,103,1,811.0
104,436,436.0,312.50618811881185,271.31435643564356,,,104,0,808.0
104,437,437.0,339.14896214896214,375.0708180708181,,,104,1,819.0
105,440,440.0,315.3201483312732,270.05067985166875,,,105,0,809.0
105,441,441.0,342.2064276885044,371.72558714462303,,,105,1,809.0
106,444,444.0,318.41336633663366,268.46039603960395,,,106,0,808.0
106,445,445.0,345.5673671199011,368.0716934487021,,,106,1,809.0
107,449,449.0,348.6695869837297,364.72966207759697,,,107,1,799.0
107,448,448.0,321.40594059405936,267.2821782178218,,,107,0,808.0
108,452,452.0,324.36633663366337,265.93811881188117,,,108,0,808.0
108,453,453.0,352.1079754601227,361.24171779141096,,,108,1,815.0
109,456,456.0,327.0501835985312,264.98898408812727,,,109,0,817.0
109,457,457.0,355.14705882352933,358.1188725490196,,,109,1,816.0
110,460,460.0,330.44430693069313,263.4938118811881,,,110,0,808.0
110,461,461.0,358.54020100502515,354.76005025125636,,,110,1,796.0
111,464,464.0,333.565,262.3475,,,111,0,800.0
111,465,465.0,361.4930817610063,351.69182389937106,,,111,1,795.0
112,468,468.0,337.12926829268287,261.18536585365854,,,112,0,820.0
112,469,469.0,364.665,348.62375,,,112,1,800.0
113,472,472.0,340.55515151515146,259.67636363636365,,,113,0,825.0
113,473,473.0,367.63840399002487,345.7506234413965,,,113,1,802.0
114,476,476.0,344.1263537906138,257.78820697954274,,,114,0,831.0
114,477,477.0,371.0160692212608,342.7268232385661,,,114,1,809.0
115,481,481.0,374.05583126550863,339.84615384615387,,,115,1,806.0
115,480,480.0,347.52788104089217,256.1734820322181,,,115,0,807.0
116,484,484.0,350.77723378212977,254.2399020807834,,,116,0,817.0
116,485,485.0,377.0611995104039,337.0342717258262,,,116,1,817.0
117,488,488.0,354.03874092009687,252.27481840193704,,,117,0,826.0
117,489,489.0,380.0695970695971,334.4688644688645,,,117,1,819.0
118,492,492.0,357.2467065868264,249.90059880239517,,,118,0,835.0
118,493,493.0,383.24231242312425,331.62607626076266,,,118,1,813.0
119,496,496.0,360.45745992601724,247.41060419235512,,,119,0,811.0
119,497,497.0,386.5531914893617,328.70713391739673,,,119,1,799.0
120,500,500.0,363.0319018404908,245.040490797546,,,120,0,815.0
120,501,501.0,389.54296388542963,326.24657534246575,,,120,1,803.0
121,504,504.0,365.61481481481485,242.33209876543208,,,121,0,810.0
121,505,505.0,393.08550185873605,323.5625774473358,,,121,1,807.0
122,508,508.0,368.4034653465346,240.24257425742573,,,122,0,808.0
122,509,509.0,396.1742331288344,321.0613496932516,,,122,1,815.0
123,513,513.0,399.6050314465409,318.58364779874216,,,123,1,795.0
123,512,512.0,371.3600493218249,237.28606658446358,,,123,0,811.0
124,518,518.0,402.81695331695335,316.3058968058968,,,124,1,814.0
124,517,517.0,373.70967741935476,234.63523573200996,,,124,0,806.0
125,521,521.0,376.498150431566,232.16646115906292,,,125,0,811.0
125,522,522.0,406.11235955056185,313.8789013732834,,,125,1,801.0
126,526,526.0,378.9489671931957,229.87484811664643,,,126,0,823.0
126,527,527.0,409.55345911949684,311.65157232704405,,,126,1,795.0
127,530,530.0,381.6637717121588,227.61042183622828,,,127,0,806.0
127,531,531.0,412.854296388543,309.5927770859277,,,127,1,803.0
128,535,535.0,384.6002490660025,225.3823163138232,,,128,0,803.0
128,536,536.0,416.18114143920593,307.3411910669975,,,128,1,806.0
129,539,539.0,387.540675844806,222.52941176470588,,,129,0,799.0
129,540,540.0,419.9348093480935,305.2533825338253,,,129,1,813.0
130,543,543.0,390.3746898263028,220.0372208436725,,,130,0,806.0
130,544,544.0,424.06411837237977,303.0826140567201,,,130,1,811.0
131,548,548.0,427.50563204005005,301.2490613266583,,,131,1,799.0
131,547,547.0,392.5896168108776,217.40667490729297,,,131,0,809.0
132,551,551.0,395.3711083437111,214.20547945205482,,,132,0,803.0
132,552,552.0,431.5568039950063,299.2197253433209,,,132,1,801.0
133,556,556.0,397.45714285714286,211.2149068322981,,,133,0,805.0
133,557,557.0,435.39064475347664,297.6232616940582,,,133,1,791.0
134,560,560.0,399.5138539042821,207.67758186397984,,,134,0,794.0
134,561,561.0,439.0025157232705,295.8830188679245,,,134,1,795.0
135,564,564.0,401.3379224030037,204.5644555694618,,,135,0,799.0
135,565,565.0,442.43362831858406,294.53097345132744,,,135,1,791.0
136,569,569.0,402.7900763358778,201.44910941475825,,,136,0,786.0
136,570,570.0,446.31,293.01375,,,136,1,800.0
137,573,573.0,404.5471698113208,198.44905660377358,,,137,0,795.0
137,574,574.0,449.9524405506884,291.60075093867334,,,137,1,799.0
138,578,578.0,454.34760705289665,290.15491183879095,,,138,1,794.0
138,577,577.0,406.35994930291514,194.8098859315589,,,138,0,789.0
139,581,581.0,407.4961538461538,191.88076923076923,,,139,0,780.0
139,582,582.0,458.2144670050761,288.65609137055833,,,139,1,788.0
140,587,587.0,408.8692893401016,188.82106598984768,,,140,0,788.0
140,588,588.0,461.54140127388536,287.5401273885351,,,140,1,785.0
141,592,592.0,409.95316455696195,185.00506329113927,,,141,0,790.0
141,593,593.0,465.51518987341774,286.1101265822785,,,141,1,790.0
142,596,596.0,411.11181702668364,181.76111817026683,,,142,0,787.0
142,597,597.0,469.42405063291136,284.64810126582285,,,142,1,790.0
143,600,600.0,411.87234042553183,178.2828535669587,,,143,0,799.0
143,601,601.0,472.9558080808081,283.6136363636364,,,143,1,792.0
144,605,605.0,476.8558786346397,282.4905183312262,,,144,1,791.0
144,604,604.0,412.5195460277428,174.32408575031525,,,144,0,793.0
145,609,609.0,413.25634517766497,170.58375634517768,,,145,0,788.0
145,610,610.0,480.4904458598726,281.4407643312102,,,145,1,785.0
146,614,614.0,413.4342431761786,167.2059553349876,,,146,0,806.0
146,615,615.0,483.4891443167305,280.4738186462324,,,146,1,783.0
147,618,618.0,413.54192740926163,163.29036295369212,,,147,0,799.0
147,619,619.0,487.18686868686865,279.0138888888889,,,147,1,792.0
148,622,622.0,413.57721518987336,159.64177215189872,,,148,0,790.0
148,623,623.0,490.55441741357237,278.1856594110115,,,148,1,781.0
149,626,626.0,413.3864795918368,155.80229591836738,,,149,0,784.0
149,627,627.0,494.60975609756105,276.91142490372266,,,149,1,779.0
150,630,630.0,412.95038167938935,152.34605597964378,,,150,0,786.0
150,631,631.0,498.2233632862643,276.2991014120668,,,150,1,779.0
151,634,634.0,412.19391634980985,148.35994930291508,,,151,0,789.0
151,635,635.0,502.45966709346993,275.4750320102433,,,151,1,781.0
152,639,639.0,506.3556701030928,274.7860824742268,,,152,1,776.0
152,638,638.0,411.14322580645165,144.81290322580645,,,152,0,775.0
153,642,642.0,409.72556390977445,141.1967418546366,,,153,0,798.0
153,643,643.0,510.84664131812417,274.11660329531054,,,153,1,789.0
154,646,646.0,408.6406649616368,138.79539641943734,,,154,0,782.0
154,647,647.0,515.1904761904761,273.57142857142856,,,154,1,777.0
155,651,651.0,407.5869017632242,136.29093198992442,,,155,0,794.0
155,652,652.0,518.8250950570342,273.07731305449937,,,155,1,789.0
156,656,656.0,523.1313394018206,272.7581274382315,,,156,1,769.0
156,655,655.0,406.451572327044,133.1622641509434,,,156,0,795.0
157,659,659.0,405.3528662420382,129.90573248407642,,,157,0,785.0
157,660,660.0,526.7211660329531,272.4512040557668,,,157,1,789.0
158,663,663.0,404.5697823303457,126.64276568501921,,,158,0,781.0
158,664,664.0,530.3843187660668,272.2005141388175,,,158,1,778.0
159,667,667.0,404.5632911392405,124.40126582278481,,,159,0,790.0
159,668,668.0,534.2075718015666,271.8368146214099,,,159,1,766.0
160,672,672.0,538.1267973856209,271.70588235294116,,,160,1,765.0
160,671,671.0,404.8503311258278,123.04238410596028,,,160,0,755.0
161,675,675.0,406.12924281984334,121.7597911227154,,,161,0,766.0
161,676,676.0,541.1547779273217,271.09959623149393,,,161,1,743.0
162,680,680.0,407.2879581151832,120.04842931937172,,,162,0,764.0
162,681,681.0,544.2105263157895,270.36437246963555,,,162,1,741.0
163,684,684.0,408.96475195822455,119.2088772845953,,,163,0,766.0
163,685,685.0,545.722891566265,269.51807228915663,,,163,1,747.0
164,688,688.0,410.9544863459038,118.40832249674902,,,164,0,769.0
164,689,689.0,546.6280991735537,268.02479338842977,,,164,1,726.0
165,692,692.0,412.79166666666674,118.16397849462365,,,165,0,744.0
165,693,693.0,547.3783422459893,266.0080213903743,,,165,1,748.0
166,696,696.0,414.58900144717796,118.12445730824892,,,166,0,691.0
166,697,697.0,546.7208976157083,264.7671809256662,,,166,1,713.0
167,701,701.0,546.3457142857144,263.78714285714284,,,167,1,700.0
167,700,700.0,416.1325503355704,118.23489932885906,,,167,0,596.0
168,705,705.0,545.2170658682635,263.15868263473055,,,168,1,668.0
168,704,704.0,418.8148148148149,119.32222222222221,,,168,0,540.0
169,708,708.0,420.63167587476977,120.7587476979742,,,169,0,543.0
169,709,709.0,544.3552,263.704,,,169,1,625.0
170,712,712.0,421.68615984405466,122.41325536062378,,,170,0,513.0
170,713,713.0,542.8088495575221,263.7964601769912,,,170,1,565.0
171,716,716.0,422.1490909090909,126.1509090909091,,,171,0,550.0
171,717,717.0,541.7829457364342,264.3934108527132,,,171,1,516.0
172,720,720.0,419.93607954545456,129.79829545454547,,,172,0,704.0
172,721,721.0,539.8255319148936,264.5808510638298,,,172,1,470.0
173,725,725.0,418.5453315290934,131.15020297699593,,,173,0,739.0
173,726,726.0,540.8079207920791,263.66336633663366,,,173,1,505.0
174,729,729.0,415.8381742738589,133.07053941908714,,,174,0,723.0
174,730,730.0,540.4451697127937,258.8368146214099,,,174,1,766.0
175,734,734.0,413.69973190348526,133.81099195710456,,,175,0,746.0
175,735,735.0,538.8318002628121,258.2917214191853,,,175,1,761.0
176,739,739.0,410.92517006802717,136.20272108843537,,,176,0,735.0
176,740,740.0,536.7384823848238,258.0907859078591,,,176,1,738.0
177,744,744.0,408.7027741083223,137.17305151915457,,,177,0,757.0
177,745,745.0,534.8431911966987,257.95460797799177,,,177,1,727.0
178,748,748.0,405.78723404255317,139.65824468085106,,,178,0,752.0
178,749,749.0,532.5240715268227,258.33012379642366,,,178,1,727.0
179,752,752.0,403.1108144192256,141.48197596795728,,,179,0,749.0
179,753,753.0,529.2327469553452,258.24763193504737,,,179,1,739.0
180,757,757.0,399.77570093457945,143.63818424566088,,,180,0,749.0
180,758,758.0,525.5972413793104,258.8841379310345,,,180,1,725.0
181,762,762.0,521.3324360699867,259.1749663526245,,,181,1,743.0
181,761,761.0,396.1655359565808,146.10854816824963,,,181,0,737.0
182,766,766.0,517.4268292682926,259.34417344173437,,,182,1,738.0
182,765,765.0,393.3948051948052,147.6220779220779,,,182,0,770.0
183,769,769.0,390.1555555555556,149.7686274509804,,,183,0,765.0
183,770,770.0,513.0296096904441,260.08075370121134,,,183,1,743.0
184,773,773.0,386.8515111695138,151.81603153745073,,,184,0,761.0
184,774,774.0,508.7154471544715,260.7032520325203,,,184,1,738.0
185,777,777.0,384.01196808510633,154.2765957446809,,,185,0,752.0
185,778,778.0,504.1830417227456,261.1736204576044,,,185,1,743.0
186,781,781.0,381.0843060959792,156.89623865110246,,,186,0,771.0
186,782,782.0,499.23443708609267,261.58543046357613,,,186,1,755.0
187,785,785.0,378.3389175257732,159.8221649484536,,,187,0,776.0
187,786,786.0,494.9124668435013,261.8713527851459,,,187,1,754.0
188,789,789.0,376.3868894601543,162.7095115681234,,,188,0,778.0
188,790,790.0,490.4244031830239,262.30636604774537,,,188,1,754.0
189,793,793.0,374.2068511198946,166.2463768115942,,,189,0,759.0
189,794,794.0,485.8565737051793,262.722443559097,,,189,1,753.0
190,799,799.0,372.62580645161285,169.4774193548387,,,190,0,775.0
190,800,800.0,481.4659685863874,262.9109947643979,,,190,1,764.0
191,803,803.0,371.4921465968586,173.06544502617803,,,191,0,764.0
191,804,804.0,477.38026315789466,263.0,,,191,1,760.0
192,808,808.0,472.95538057742783,262.8871391076116,,,192,1,762.0
192,807,807.0,370.52467532467534,176.81558441558442,,,192,0,770.0
193,812,812.0,369.9216216216216,180.8310810810811,,,193,0,740.0
193,813,813.0,468.65290322580637,262.8051612903226,,,193,1,775.0
194,816,816.0,370.0160642570281,184.82730923694783,,,194,0,747.0
194,817,817.0,464.30779054916985,262.418901660281,,,194,1,783.0
195,820,820.0,370.1854951185495,188.68619246861923,,,195,0,717.0
195,821,821.0,459.66965428937266,261.8911651728553,,,195,1,781.0
196,825,825.0,454.7936305732485,261.44458598726106,,,196,1,785.0
196,824,824.0,370.59455782312926,192.465306122449,,,196,0,735.0
197,829,829.0,450.5402298850575,260.8441890166028,,,197,1,783.0
197,828,828.0,371.5836849507736,196.36286919831227,,,197,0,711.0
198,833,833.0,372.6430481283423,199.3021390374332,,,198,0,748.0
198,834,834.0,446.49113924050636,260.32911392405066,,,198,1,790.0
199,837,837.0,374.1927710843373,203.23025435073632,,,199,0,747.0
199,838,838.0,441.77278562259306,259.7586649550706,,,199,1,779.0
200,841,841.0,376.39187418086505,206.5570117955439,,,200,0,763.0
200,842,842.0,436.8708439897698,258.94757033248084,,,200,1,782.0
201,846,846.0,378.4012903225806,209.21032258064517,,,201,0,775.0
201,847,847.0,433.44654088050316,258.27672955974845,,,201,1,795.0
202,850,850.0,381.2105943152455,212.1925064599484,,,202,0,774.0
202,851,851.0,428.4955974842768,257.29937106918237,,,202,1,795.0
203,855,855.0,383.81889763779526,214.76377952755902,,,203,0,762.0
203,856,856.0,424.53517587939695,256.3542713567839,,,203,1,796.0
204,860,860.0,419.70356234096687,255.00890585241729,,,204,1,786.0
204,859,859.0,386.9689521345408,217.11384217335058,,,204,0,773.0
